				Velocity Center-point Mean mm/s	Cruising Frequency	Cruising Cumulative Duration s	Bursting Frequency	Bursting Cumulative Duration s	Freezing  Frequency	Freezing  Cumulative Duration s	Turn angle Center-point / relative Mean deg	Meander Center-point / relative Mean deg/mm	Angular velocity Center-point / relative Mean deg/s	Distance moved Center-point Total mm
Control	Trial     2	B2	0:41:00-0:42:00	0.655587	0	0	0	0	1	60	-1.67689	-396.142	-41.9222	39.3352
Control	Trial     2	B2	0:42:00-0:43:00	0.672964	0	0	0	0	1	60	-1.91656	-323.491	-47.914	40.3779
Control	Trial     2	B2	0:43:00-0:44:00	0.72871	0	0	0	0	2	59.92	-0.966154	-53.7694	-24.1539	43.6643
Control	Trial     2	B2	0:44:00-0:45:00	0.716648	0	0	0	0	1	60	-0.699728	-585.445	-17.4932	42.9989
Control	Trial     2	B2	0:45:00-0:46:00	0.74734	0	0	0	0	1	60	-1.60193	81.2529	-40.0482	44.8404
Control	Trial     2	B2	0:46:00-0:47:00	0.767673	0	0	0	0	2	59.92	-0.711323	-212.638	-17.7831	45.999
Control	Trial     2	B2	0:47:00-0:48:00	1.51142	61	4.6	0	0	62	55.4	1.03426	359.597	25.8566	90.6854
Control	Trial     2	B2	0:48:00-0:49:00	4.79529	217	20	0	0	217	39.92	-0.552693	206.29	-13.8173	287.334
Control	Trial     2	B2	0:49:00-0:50:00	6.22561	188	25.2	0	0	187	34.8	-1.08363	61.8251	-27.0906	373.537
Control	Trial     2	C1	0:00:00-0:01:00	7.72959	181	26.36	0	0	182	33.4	1.26243	47.7652	31.5608	461.92
Control	Trial     2	C1	0:01:00-0:02:00	8.33464	211	27.64	0	0	212	32.36	-1.3752	-31.247	-34.38	500.079
Control	Trial     2	C1	0:02:00-0:03:00	7.94896	200	27.12	0	0	199	32.88	0.10855	229.506	2.71374	476.938
Control	Trial     2	C1	0:03:00-0:04:00	7.36674	189	24.52	0	0	188	35.4	0.498715	12.6672	12.4679	441.415
Control	Trial     2	C1	0:04:00-0:05:00	7.03283	181	23.2	0	0	180	36.8	0.681864	18.8256	17.0466	421.97
Control	Trial     2	C1	0:05:00-0:06:00	6.95329	184	22.24	0	0	184	37.76	-0.023912	-11.5	-0.597801	417.197
Control	Trial     2	C1	0:06:00-0:07:00	7.62269	174	24.52	0	0	176	35.4	0.21918	25.5016	5.47949	456.752
Control	Trial     2	C1	0:07:00-0:08:00	7.1031	184	23.92	0	0	185	36.08	-0.496312	-86.2718	-12.4078	426.186
Control	Trial     2	C1	0:08:00-0:09:00	7.8789	176	24.84	0	0	176	35.08	0.156344	27.3558	3.90861	472.103
Control	Trial     2	C1	0:09:00-0:10:00	6.56353	170	21	0	0	170	39	2.13177	230.853	53.2941	393.812
Control	Trial     2	C1	0:10:00-0:11:00	6.87473	169	20.52	0	0	170	39.48	-3.78505	-122.405	-94.6263	412.484
Control	Trial     2	C1	0:11:00-0:12:00	8.05214	194	25.8	0	0	193	34.12	-0.456275	21.3233	-11.4069	482.484
Control	Trial     2	C1	0:12:00-0:13:00	8.37637	211	28.68	0	0	211	31.32	0.0802464	16.538	2.00616	502.582
Control	Trial     2	C1	0:13:00-0:14:00	9.75805	218	34.76	0	0	217	25.24	0.194321	-9.48001	4.85803	585.483
Control	Trial     2	C1	0:14:00-0:15:00	7.01323	208	24.2	0	0	208	35.72	-0.0319565	-0.871558	-0.798914	420.233
Control	Trial     2	C1	0:15:00-0:16:00	9.66354	205	32.08	0	0	206	27.92	4.24968	40.6892	106.242	579.812
Control	Trial     2	C1	0:16:00-0:17:00	9.2951	220	33.52	0	0	219	26.4	0.13932	32.4312	3.483	556.962
Control	Trial     2	C1	0:17:00-0:18:00	9.80926	213	34.12	0	0	213	25.88	-1.395	-10.0281	-34.8751	588.556
Control	Trial     2	C1	0:18:00-0:19:00	8.21821	198	27.72	0	0	198	32.28	2.58479	88.3038	64.6198	493.093
Control	Trial     2	C1	0:19:00-0:20:00	9.21883	213	32.32	0	0	213	27.6	-1.36952	-42.121	-34.238	552.392
Control	Trial     2	C1	0:20:00-0:21:00	5.51403	125	14.64	0	0	125	45.36	-4.32706	-363.215	-108.177	330.842
Control	Trial     2	C1	0:21:00-0:22:00	8.29385	190	24.72	0	0	189	35.28	1.69787	-142.081	42.4468	497.631
Control	Trial     2	C1	0:22:00-0:23:00	8.63964	183	26.84	0	0	182	33.08	2.25009	10.5089	56.2521	517.688
Control	Trial     2	C1	0:23:00-0:24:00	8.5155	203	25.76	0	0	203	34.24	-0.875294	-20.7282	-21.8824	510.93
Control	Trial     2	C1	0:24:00-0:25:00	10.5659	187	31.24	0	0	186	28.68	1.89539	-1.11583	47.3847	633.108
Control	Trial     2	C1	0:25:00-0:26:00	9.9891	190	30.72	0	0	190	29.28	2.08738	-15.4534	52.1846	599.346
Control	Trial     2	C1	0:26:00-0:27:00	9.14362	193	28.68	0	0	194	31.32	1.81247	45.5651	45.3116	548.617
Control	Trial     2	C1	0:27:00-0:28:00	9.22018	190	30.16	0	0	191	29.76	1.52677	32.4277	38.1692	552.473
Control	Trial     2	C1	0:28:00-0:29:00	8.18329	175	26.28	0	0	175	33.72	0.598064	-3.67383	14.9516	490.997
Control	Trial     2	C1	0:29:00-0:30:00	8.07003	184	26.6	0	0	184	33.4	0.447857	-14.0119	11.1964	484.202
Control	Trial     2	C1	0:30:00-0:31:00	7.46014	176	21.92	0	0	175	38	-1.39083	0.184317	-34.7707	447.012
Control	Trial     2	C1	0:31:00-0:32:00	7.77404	195	26.16	0	0	194	33.84	-3.26866	-48.4203	-81.7164	466.443
Control	Trial     2	C1	0:32:00-0:33:00	9.62732	211	32.4	0	0	210	27.52	-0.914516	1.67298	-22.8629	576.869
Control	Trial     2	C1	0:33:00-0:34:00	8.42733	189	28.92	0	0	189	31.08	0.232806	-131.081	5.82015	505.64
Control	Trial     2	C1	0:34:00-0:35:00	8.72252	198	30.56	0	0	198	29.44	-1.10855	-10.9186	-27.7137	523.351
Control	Trial     2	C1	0:35:00-0:36:00	10.1284	228	35.36	0	0	228	24.56	-0.41178	-36.1596	-10.2945	606.895
Control	Trial     2	C1	0:36:00-0:37:00	7.24542	191	24.76	0	0	190	35.24	-0.918773	319.193	-22.9693	434.725
Control	Trial     2	C1	0:37:00-0:38:00	10.0298	202	36.16	0	0	202	23.84	-1.91665	-80.3011	-47.9161	601.788
Control	Trial     2	C1	0:38:00-0:39:00	5.38883	132	19.84	0	0	132	40.08	0.619842	100.676	15.4961	322.899
Control	Trial     2	C1	0:39:00-0:40:00	3.85115	153	13.64	0	0	154	46.36	1.26691	143.392	31.6728	231.069
Control	Trial     2	C1	0:40:00-0:41:00	5.90235	142	17.24	0	0	143	42.68	-1.63897	-186.604	-40.9742	353.669
Control	Trial     2	C1	0:41:00-0:42:00	5.48153	102	13.56	0	0	102	46.44	-5.83549	-338.951	-145.887	328.892
Control	Trial     2	C1	0:42:00-0:43:00	7.01213	167	21.04	0	0	168	38.96	-1.6823	-3.5196	-42.0575	420.728
Control	Trial     2	C1	0:43:00-0:44:00	7.09405	172	21.92	0	0	171	38	-2.94173	-194.169	-73.5433	425.075
Control	Trial     2	C1	0:44:00-0:45:00	6.73096	195	21.16	0	0	194	38.84	-1.45066	-98.0583	-36.2666	403.858
Control	Trial     2	C1	0:45:00-0:46:00	6.72237	184	20.36	0	0	184	39.64	-1.15431	-62.0785	-28.8577	403.342
Control	Trial     2	C1	0:46:00-0:47:00	6.67086	180	21.08	0	0	181	38.84	-1.9277	-62.881	-48.1926	399.718
Control	Trial     2	C1	0:47:00-0:48:00	7.66127	190	23.52	0	0	191	36.48	0.531806	27.366	13.2952	459.676
Control	Trial     2	C1	0:48:00-0:49:00	7.58966	200	24.6	0	0	200	35.32	0.761137	5.84945	19.0284	454.773
Control	Trial     2	C1	0:49:00-0:50:00	6.61304	201	23.2	0	0	202	36.8	-0.968518	-0.58886	-24.2129	396.782
Control	Trial     2	C4	0:00:00-0:01:00	3.94645	75	10.8	0	0	76	48.96	-2.47175	-109.169	-61.7936	235.84
Control	Trial     2	C4	0:01:00-0:02:00	3.49542	76	9.4	0	0	76	50.6	-1.99871	-160.17	-49.9676	209.725
Control	Trial     2	C4	0:02:00-0:03:00	3.18855	71	8.44	0	0	72	51.56	-3.94023	-499.566	-98.5058	191.313
Control	Trial     2	C4	0:03:00-0:04:00	3.05951	56	7.52	0	0	58	52.4	-4.9955	-52.9664	-124.888	183.326
Control	Trial     2	C4	0:04:00-0:05:00	3.30108	72	8.92	0	0	73	51.08	-1.09537	161.982	-27.3842	198.065
Control	Trial     2	C4	0:05:00-0:06:00	3.45177	64	9.04	0	0	65	50.96	-1.54277	416.008	-38.5693	207.106
Control	Trial     2	C4	0:06:00-0:07:00	3.70383	81	10.8	0	0	83	49.12	-0.821631	24.181	-20.5408	221.933
Control	Trial     2	C4	0:07:00-0:08:00	3.74123	76	10.12	0	0	77	49.88	-2.11652	29.8883	-52.9129	224.474
Control	Trial     2	C4	0:08:00-0:09:00	5.02427	67	13.08	0	0	69	46.84	1.29704	-22.0384	32.4261	301.054
Control	Trial     2	C4	0:09:00-0:10:00	3.12419	59	8.08	0	0	60	51.92	-1.76537	-763.904	-44.1344	187.452
Control	Trial     2	C4	0:10:00-0:11:00	4.27445	128	12.24	0	0	129	47.76	1.03242	-81.4717	25.8104	256.467
Control	Trial     2	C4	0:11:00-0:12:00	3.97745	116	12.48	0	0	118	47.44	-6.4558	-36.7968	-161.395	238.329
Control	Trial     2	C4	0:12:00-0:13:00	3.82341	138	12.44	0	0	139	47.56	-4.41442	127.859	-110.36	229.404
Control	Trial     2	C4	0:13:00-0:14:00	4.73487	130	14.24	0	0	131	45.76	-4.37726	-221.91	-109.431	284.092
Control	Trial     2	C4	0:14:00-0:15:00	3.39467	111	9.48	0	0	113	50.44	-5.75852	-77.3375	-143.963	203.408
Control	Trial     2	C4	0:15:00-0:16:00	3.03689	95	8.48	0	0	96	51.52	-0.339743	-61.2408	-8.49358	182.213
Control	Trial     2	C4	0:16:00-0:17:00	2.67002	95	7.44	0	0	97	52.48	-2.66277	81.23	-66.5693	159.988
Control	Trial     2	C4	0:17:00-0:18:00	3.07287	99	8.72	0	0	98	51.28	-0.118322	-3.73858	-2.95805	184.372
Control	Trial     2	C4	0:18:00-0:19:00	3.70989	103	10.32	0	0	102	49.68	-4.35387	-17.0947	-108.847	222.593
Control	Trial     2	C4	0:19:00-0:20:00	3.94543	100	10.92	0	0	102	49	-3.70342	-6.03348	-92.5855	236.41
Control	Trial     2	C4	0:20:00-0:21:00	3.52505	40	7.88	0	0	41	52.12	-0.542237	114.064	-13.5559	211.503
Control	Trial     2	C4	0:21:00-0:22:00	1.15717	10	0.92	0	0	11	59.08	-2.20738	35.4876	-55.1845	69.4301
Control	Trial     2	C4	0:22:00-0:23:00	1.22383	12	1.04	0	0	14	58.88	-0.653025	-511.16	-16.3256	73.3321
Control	Trial     2	C4	0:23:00-0:24:00	1.84857	34	4.04	0	0	35	55.96	-1.85385	-349.046	-46.3462	110.914
Control	Trial     2	C4	0:24:00-0:25:00	1.85704	33	3.36	0	0	35	56.56	4.41386	2265.74	110.347	111.274
Control	Trial     2	C4	0:25:00-0:26:00	1.09344	11	1.28	0	0	12	58.72	1.61064	-123.971	40.266	65.6066
Control	Trial     2	C4	0:26:00-0:27:00	1.42686	23	2.28	0	0	24	57.72	-3.14563	146.683	-78.6407	85.6114
Control	Trial     2	C4	0:27:00-0:28:00	1.20278	17	1.6	0	0	19	58.32	-1.87776	-112.928	-46.944	72.0706
Control	Trial     2	C4	0:28:00-0:29:00	1.34733	20	1.84	0	0	21	58.16	-0.218819	224.984	-5.47047	80.8398
Control	Trial     2	C4	0:29:00-0:30:00	1.11425	12	1.32	0	0	13	58.68	0.371492	115.729	9.28731	66.8547
Control	Trial     2	C4	0:30:00-0:31:00	5.03779	90	12.08	0	0	90	47.84	1.60224	137.247	40.0561	301.864
Control	Trial     2	C4	0:31:00-0:32:00	3.37847	105	9.76	0	0	106	50.24	1.4028	-68.0365	35.0699	202.708
Control	Trial     2	C4	0:32:00-0:33:00	2.622	97	7	0	0	99	52.92	-1.2513	101.669	-31.2825	157.11
Control	Trial     2	C4	0:33:00-0:34:00	4.53323	144	14.92	0	0	145	45.08	-1.4885	-22.816	-37.2126	271.994
Control	Trial     2	C4	0:34:00-0:35:00	3.61375	99	10.56	0	0	100	49.44	-1.67667	-112.538	-41.9167	216.825
Control	Trial     2	C4	0:35:00-0:36:00	3.75395	125	11.6	0	0	127	48.32	-2.94924	-259.792	-73.7309	224.937
Control	Trial     2	C4	0:36:00-0:37:00	4.81742	115	14.2	0	0	116	45.8	-4.03895	-391.267	-100.974	289.045
Control	Trial     2	C4	0:37:00-0:38:00	2.78957	57	6.44	0	0	58	53.56	0.975649	46.3971	24.3912	167.374
Control	Trial     2	C4	0:38:00-0:39:00	3.45656	115	9.68	0	0	117	50.24	-5.76157	-63.1352	-144.039	207.117
Control	Trial     2	C4	0:39:00-0:40:00	5.71287	155	16.72	0	0	156	43.28	0.099042	96.0478	2.47605	342.772
Control	Trial     2	C4	0:40:00-0:41:00	3.05626	38	6.56	0	0	40	53.36	-4.8584	200.986	-121.46	183.131
Control	Trial     2	C4	0:41:00-0:42:00	0.606909	6	0.4	0	0	7	59.6	5.36241	32.8685	134.06	36.4145
Control	Trial     2	C4	0:42:00-0:43:00	2.73284	53	6.4	0	0	54	53.6	0.272208	-107.945	6.80519	163.97
Control	Trial     2	C4	0:43:00-0:44:00	0.888191	12	1.04	0	0	14	58.88	-1.18544	-178.169	-29.636	53.2204
Control	Trial     2	C4	0:44:00-0:45:00	1.11811	18	2	0	0	19	58	2.89382	429.587	72.3456	67.0867
Control	Trial     2	C4	0:45:00-0:46:00	0.941541	13	1.28	0	0	14	58.72	4.44855	377.176	111.214	56.4925
Control	Trial     2	C4	0:46:00-0:47:00	1.06742	10	1.08	0	0	12	58.84	3.31535	88.861	82.8838	63.9599
Control	Trial     2	C4	0:47:00-0:48:00	1.17088	15	1.04	0	0	16	58.96	2.10462	-109.138	52.6154	70.2525
Control	Trial     2	C4	0:48:00-0:49:00	0.953026	16	1.12	0	0	18	58.8	-6.6868	-562.873	-167.17	57.1053
Control	Trial     2	C4	0:49:00-0:50:00	0.945873	10	1	0	0	11	59	-3.10346	-190.996	-77.5866	56.7524
Control	Trial     2	C5	0:00:00-0:01:00	0.778497	5	0.32	0	0	7	59.44	-2.80156	35.8324	-70.0391	46.523
Control	Trial     2	C5	0:01:00-0:02:00	2.16653	62	6.08	0	0	63	53.92	3.91188	300.543	97.7969	129.992
Control	Trial     2	C5	0:02:00-0:03:00	3.54015	95	10.8	0	0	95	49.2	-2.32478	-384.965	-58.1194	212.409
Control	Trial     2	C5	0:03:00-0:04:00	3.56298	119	10.48	0	0	120	49.44	-1.15589	-148.254	-28.8972	213.494
Control	Trial     2	C5	0:04:00-0:05:00	1.30043	15	2.04	0	0	15	57.96	-1.97041	-160.351	-49.2604	78.0256
Control	Trial     2	C5	0:05:00-0:06:00	1.13775	2	0.12	0	0	3	59.88	-7.7169	33.891	-192.923	68.2647
Control	Trial     2	C5	0:06:00-0:07:00	0.898637	14	0.84	0	0	16	59.08	-1.10173	-629.304	-27.5433	53.8464
Control	Trial     2	C5	0:07:00-0:08:00	1.31973	36	2.36	0	0	37	57.64	-1.98908	496.318	-49.727	79.1837
Control	Trial     2	C5	0:08:00-0:09:00	1.22268	46	3.36	0	0	48	56.56	-1.72494	107.197	-43.1235	73.2628
Control	Trial     2	C5	0:09:00-0:10:00	0.78864	6	0.4	0	0	7	59.6	1.38628	348.173	34.6569	47.3184
Control	Trial     2	C5	0:10:00-0:11:00	1.80774	25	2.6	0	0	26	57.4	0.247289	-297.792	6.18222	108.464
